Role,Job Title,Employer,Salary,Region,Timestamp,Visa,Essential_Criteria,Desirable_Criteria,Link
Dental,Dental Core Trainee DCT2 (Ref: NHS-007-00104),Royal Free London NHS FT (England),"£32,397 to £37,303 (FY/CT level)",England,2026-06-08 06:14:09,Limited Sponsorship - Apply Early,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/96234979/
JCF,Junior Clinical Fellow in Emergency Medicine (Ref: NHS-008-00105),NHS Ayrshire & Arran (Scotland),"£65,000 to £85,000 (GP Partner)",Scotland,2026-06-08 06:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/66605953/
SCF,Senior Clinical Fellow in Trauma & Orthopaedics (Ref: NHS-008-00106),Betsi Cadwaladr University Health Board (Wales),"£32,397 to £37,303 (FY/CT level)",Wales,2026-06-08 09:14:09,Certificate of Sponsorship Provided,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/54455299/
Teaching,Medical Education Fellow (Ref: NHS-008-00107),Southern Health & Social Care Trust (Northern Ireland),"£55,329 to £71,589 (ST4-ST8 level)",Northern Ireland,2026-06-08 06:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/38761754/
TrustGrade,Trust Grade Doctor in Medicine (Ref: NHS-008-00108),Oxford University Hospitals NHS FT (England),"£32,397 to £37,303 (FY/CT level)",England,2026-06-08 04:14:09,Certificate of Sponsorship Provided,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/41649905/
LAS,LAS ST1 in General Surgery (Ref: NHS-008-00109),NHS Western Isles (Scotland),"£52,530 to £78,274 (SAS/Specialist level)",Scotland,2026-06-08 09:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/40958390/
Locum,Locum SPR in Surgery (Ref: NHS-008-00110),Powys Teaching Health Board (Wales),"£52,530 to £78,274 (SAS/Specialist level)",Wales,2026-06-08 06:14:09,Visa Not Required (UK/EU),"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/86317834/
FY1,FY1 in Acute Medicine (Ref: NHS-008-00111),Business Services Organisation NI (Northern Ireland),"£43,923 to £55,329 (ST1-ST3 level)",Northern Ireland,2026-06-08 04:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/34820922/
FY2,FY2 in Paediatrics (Ref: NHS-008-00112),Nottingham University Hospitals FT (England),"£55,329 to £71,589 (ST4-ST8 level)",England,2026-06-08 04:14:09,Visa Not Required (UK/EU),"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/16818393/
CT,Core Trainee CT3 in Anaesthetics (Ref: NHS-008-00113),NHS Lothian (Scotland),"£32,397 to £37,303 (FY/CT level)",Scotland,2026-06-08 09:14:09,Certificate of Sponsorship Provided,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/42005784/
ST_Junior,ST1 in Cardiothoracic Surgery (Ref: NHS-008-00114),Betsi Cadwaladr University Health Board (Wales),"£32,397 to £37,303 (FY/CT level)",Wales,2026-06-08 06:14:09,Certificate of Sponsorship Provided,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/73867632/
ST_Senior,ST4 in Gastroenterology (Ref: NHS-008-00115),Southern Health & Social Care Trust (Northern Ireland),"£88,364 to £119,133 (Consultant level)",Northern Ireland,2026-06-08 09:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/63691681/
SAS,Specialty Doctor in Emergency Medicine (Ref: NHS-008-00116),Moorfields Eye Hospital NHS FT (England),"£55,329 to £71,589 (ST4-ST8 level)",England,2026-06-08 09:14:09,Skilled Worker Visa Supported,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/57638131/
Specialist,Specialist Grade in Geriatrics (Ref: NHS-008-00117),NHS Fife (Scotland),"£55,329 to £71,589 (ST4-ST8 level)",Scotland,2026-06-08 06:14:09,Visa Not Required (UK/EU),"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/17628666/
GP,GP with Special Interest (Ref: NHS-008-00118),Powys Teaching Health Board (Wales),"£55,329 to £71,589 (ST4-ST8 level)",Wales,2026-06-08 09:14:09,Certificate of Sponsorship Provided,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/53026222/
Dental,Dental Foundation Trainee (Ref: NHS-008-00119),Business Services Organisation NI (Northern Ireland),"£55,329 to £71,589 (ST4-ST8 level)",Northern Ireland,2026-06-08 04:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/89158965/
JCF,Junior Clinical Fellow in ICU (Ref: NHS-009-00120),Blackpool Teaching Hospitals NHS FT (England),"£55,329 to £71,589 (ST4-ST8 level)",England,2026-06-08 04:14:09,Limited Sponsorship - Apply Early,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/25516562/
SCF,Senior Clinical Fellow in Renal Medicine (Ref: NHS-009-00121),NHS Borders (Scotland),"£52,530 to £78,274 (SAS/Specialist level)",Scotland,2026-06-08 06:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/93317806/
Teaching,Undergraduate Teaching Fellow (Ref: NHS-009-00122),Betsi Cadwaladr University Health Board (Wales),"£65,000 to £85,000 (GP Partner)",Wales,2026-06-08 06:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/36123434/
TrustGrade,Trust Grade Doctor in A&E (Ref: NHS-009-00123),Southern Health & Social Care Trust (Northern Ireland),"£65,000 to £85,000 (GP Partner)",Northern Ireland,2026-06-08 06:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/59755181/
LAS,LAS ST1 in General Surgery (Ref: NHS-009-00124),Mid Cheshire Hospitals NHS FT (England),"£65,000 to £85,000 (GP Partner)",England,2026-06-08 09:14:09,Limited Sponsorship - Apply Early,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/41821955/
Locum,Bank Shift Doctor (Ref: NHS-009-00125),NHS Shetland (Scotland),"£82,000 to £110,000 (Dental Consultant)",Scotland,2026-06-08 09:14:09,Tier 2 Sponsorship Available,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/50815076/
FY1,FY1 in Psychiatry (Ref: NHS-009-00126),Powys Teaching Health Board (Wales),"£32,397 to £37,303 (FY/CT level)",Wales,2026-06-08 06:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/20590650/
FY2,FY2 in Obstetrics & Gynaecology (Ref: NHS-009-00127),Business Services Organisation NI (Northern Ireland),"£88,364 to £119,133 (Consultant level)",Northern Ireland,2026-06-08 04:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/60798471/
CT,Core Trainee CT3 in Anaesthetics (Ref: NHS-009-00128),St Helens & Knowsley Teaching Hospitals NHS Trust (England),"£88,364 to £119,133 (Consultant level)",England,2026-06-08 06:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/43575147/
ST_Junior,ST2 in Plastic Surgery (Ref: NHS-009-00129),NHS Tayside (Scotland),"£65,000 to £85,000 (GP Partner)",Scotland,2026-06-08 04:14:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/28255432/
ST_Senior,ST6 in Endocrinology (Ref: NHS-009-00130),Betsi Cadwaladr University Health Board (Wales),"£32,397 to £37,303 (FY/CT level)",Wales,2026-06-08 04:14:09,Visa Not Required (UK/EU),"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/22788511/
SAS,Specialty Doctor in Anaesthetics (Ref: NHS-009-00131),Southern Health & Social Care Trust (Northern Ireland),"£43,923 to £55,329 (ST1-ST3 level)",Northern Ireland,2026-06-08 09:14:09,Certificate of Sponsorship Provided,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/83134364/
Specialist,Specialist Grade in Urology (Ref: NHS-009-00132),The Walton Centre NHS FT (England),"£82,000 to £110,000 (Dental Consultant)",England,2026-06-08 06:14:09,Visa Not Required (UK/EU),"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/18792302/
GP,Salaried GP Partner (Ref: NHS-009-00133),NHS Ayrshire & Arran (Scotland),"£43,923 to £55,329 (ST1-ST3 level)",Scotland,2026-06-08 04:14:09,Limited Sponsorship - Apply Early,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/59070071/
Dental,Dental Core Trainee DCT1 (Ref: NHS-009-00134),Powys Teaching Health Board (Wales),"£52,530 to £78,274 (SAS/Specialist level)",Wales,2026-06-08 09:14:09,Skilled Worker Visa Supported,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/41682635/
JCF,Junior Clinical Fellow in General Medicine (Ref: NHS-010-00135),Business Services Organisation NI (Northern Ireland),"£32,397 to £37,303 (FY/CT level)",Northern Ireland,2026-06-08 06:14:09,Limited Sponsorship - Apply Early,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/63423482/
SCF,Senior Clinical Fellow in Neurology (Ref: NHS-010-00136),Salford Royal NHS FT (England),"£65,000 to £85,000 (GP Partner)",England,2026-06-08 09:14:09,Skilled Worker Visa Supported,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/58507831/
Teaching,Postgraduate Teaching Fellow (Ref: NHS-010-00137),NHS Western Isles (Scotland),"£88,364 to £119,133 (Consultant level)",Scotland,2026-06-08 09:14:09,Limited Sponsorship - Apply Early,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/23229563/
TrustGrade,Trust Grade Doctor in A&E (Ref: NHS-010-00138),Betsi Cadwaladr University Health Board (Wales),"£35,000 to £55,000 (Dental Trainee)",Wales,2026-06-08 04:14:09,Visa Not Required (UK/EU),"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/73337463/
LAS,LAS ST2 in Emergency Medicine (Ref: NHS-010-00139),Southern Health & Social Care Trust (Northern Ireland),"£35,000 to £55,000 (Dental Trainee)",Northern Ireland,2026-06-08 04:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/11038309/
Locum,Locum SHO in General Medicine (Ref: NHS-010-00140),Wrightington Wigan & Leigh NHS FT (England),"£65,000 to £85,000 (GP Partner)",England,2026-06-08 09:14:09,Tier 2 Sponsorship Available,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/24313351/
FY1,FY1 in Acute Medicine (Ref: NHS-010-00141),NHS Lothian (Scotland),"£82,000 to £110,000 (Dental Consultant)",Scotland,2026-06-08 04:14:09,Skilled Worker Visa Supported,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/74340641/
FY2,FY2 in Emergency Medicine (Ref: NHS-010-00142),Powys Teaching Health Board (Wales),"£65,000 to £85,000 (GP Partner)",Wales,2026-06-08 09:14:09,Skilled Worker Visa Supported,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/33683987/
CT,Core Trainee CT2 in Pathology (Ref: NHS-010-00143),Business Services Organisation NI (Northern Ireland),"£45,000 to £65,000 (GP Salaried)",Northern Ireland,2026-06-08 09:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/75613045/
ST_Junior,ST1 in Cardiothoracic Surgery (Ref: NHS-010-00144),Lancashire & South Cumbria NHS FT (England),"£32,397 to £37,303 (FY/CT level)",England,2026-06-08 04:14:09,Certificate of Sponsorship Provided,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/86650123/
ST_Senior,ST3 in Cardiology (Ref: NHS-010-00145),NHS Fife (Scotland),"£88,364 to £119,133 (Consultant level)",Scotland,2026-06-08 06:14:09,Visa Not Required (UK/EU),"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/31548009/
SAS,Specialty Doctor in Psychiatry (Ref: NHS-010-00146),Betsi Cadwaladr University Health Board (Wales),"£45,000 to £65,000 (GP Salaried)",Wales,2026-06-08 04:14:09,Certificate of Sponsorship Provided,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Specialty-Specific Diploma, NHS England Experience, Clinical Governance Knowledge, Mentorship Experience, Grant Funding",https://www.jobs.nhs.uk/candidate/job/98166967/
Specialist,Specialist Grade in ENT (Ref: NHS-010-00147),Southern Health & Social Care Trust (Northern Ireland),"£32,397 to £37,303 (FY/CT level)",Northern Ireland,2026-06-08 09:14:09,Limited Sponsorship - Apply Early,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/67587584/
GP,Salaried GP Partner (Ref: NHS-010-00148),King's College Hospital NHS FT (England),"£43,923 to £55,329 (ST1-ST3 level)",England,2026-06-08 04:14:09,Skilled Worker Visa Supported,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/72545925/
Dental,Specialty Dentist in Orthodontics (Ref: NHS-010-00149),NHS Borders (Scotland),"£35,000 to £55,000 (Dental Trainee)",Scotland,2026-06-08 09:14:09,Visa Not Required (UK/EU),"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/36344143/
JCF,Junior Clinical Fellow in Psychiatry (Ref: NHS-011-00150),Powys Teaching Health Board (Wales),"£88,364 to £119,133 (Consultant level)",Wales,2026-06-08 04:14:09,Skilled Worker Visa Supported,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/99433519/
SCF,Senior Clinical Fellow in Trauma & Orthopaedics (Ref: NHS-011-00151),Business Services Organisation NI (Northern Ireland),"£35,000 to £55,000 (Dental Trainee)",Northern Ireland,2026-06-08 00:14:09,Certificate of Sponsorship Provided,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/68489419/
Teaching,Teaching Fellow in Clinical Skills (Ref: NHS-011-00152),Barts Health NHS Trust (England),"£35,000 to £55,000 (Dental Trainee)",England,2026-06-08 04:14:09,Skilled Worker Visa Supported,"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/59989153/
TrustGrade,Trust Grade Doctor in Medicine (Ref: NHS-011-00153),NHS Shetland (Scotland),"£32,397 to £37,303 (FY/CT level)",Scotland,2026-06-08 04:14:09,Tier 2 Sponsorship Available,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/57111460/
LAS,LAS ST1 in General Surgery (Ref: NHS-011-00154),Betsi Cadwaladr University Health Board (Wales),"£43,923 to £55,329 (ST1-ST3 level)",Wales,2026-06-08 00:14:09,Skilled Worker Visa Supported,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/73431557/
Locum,Locum Consultant in Emergency Medicine (Ref: NHS-011-00155),Southern Health & Social Care Trust (Northern Ireland),"£52,530 to £78,274 (SAS/Specialist level)",Northern Ireland,2026-06-07 18:14:09,Skilled Worker Visa Supported,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/61057140/
FY1,FY1 in Surgery (Ref: NHS-011-00156),Leeds Teaching Hospitals NHS Trust (England),"£35,000 to £55,000 (Dental Trainee)",England,2026-06-08 00:14:09,Tier 2 Sponsorship Available,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/81307076/
FY2,FY2 in Anaesthetics (Ref: NHS-011-00157),NHS Tayside (Scotland),"£52,530 to £78,274 (SAS/Specialist level)",Scotland,2026-06-07 18:14:09,Certificate of Sponsorship Provided,"GMC Registration, Medical Degree recognised by GMC, 24 Months Post-Graduation Clinical Experience, Good Standing Certificate","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/86112275/
CT,Core Trainee CT2 in Surgery (Ref: NHS-011-00158),Powys Teaching Health Board (Wales),"£35,000 to £55,000 (Dental Trainee)",Wales,2026-06-08 04:14:09,Limited Sponsorship - Apply Early,"GMC Full Registration, Primary Medical Degree, FY1 Competencies, BLS/ILS Certification, Valid Visa (if applicable)","UK Clinical Experience, Audit/Quality Improvement, Teaching Qualification (PGCert Med Ed), Peer-Reviewed Publications, Leadership Experience",https://www.jobs.nhs.uk/candidate/job/71567201/
ST_Junior,ST1 in Cardiothoracic Surgery (Ref: NHS-011-00159),Business Services Organisation NI (Northern Ireland),"£88,364 to £119,133 (Consultant level)",Northern Ireland,2026-06-08 00:14:09,Limited Sponsorship - Apply Early,"GMC Registration, MBChB or Equivalent, Foundation Programme Completion, ALS Certificate, Right to Work in UK","Previous NHS Experience, Postgraduate Qualification (MRCP/MRCS/MRCGP), QI Project Participation, Teaching Experience, Research Publications",https://www.jobs.nhs.uk/candidate/job/30934345/
ST_Senior,ST7 in Rheumatology (Ref: NHS-011-00160),Liverpool University Hospitals FT (England),"£82,000 to £110,000 (Dental Consultant)",England,2026-06-08 04:14:09,Visa Not Required (UK/EU),"GMC Registration, MBBS/BDS, Relevant Specialty Training, MRCP/MRCS or Equivalent, ATLS/ALS","NHS Trust Experience, Multidisciplinary Team Working, Presentation Skills, Quality Improvement Project, Additional Language Skills",https://www.jobs.nhs.uk/candidate/job/74905599/
SAS,Specialty Doctor in Psychiatry (Ref: NHS-011-00161),NHS Ayrshire & Arran (Scotland),"£88,364 to £119,133 (Consultant level)",Scotland,2026-06-08 04:14:09,Skilled Worker Visa Supported,"GMC Registration with Licence to Practise, MBBS or Equivalent Primary Medical Qualification, 12-Month Internship Completion, IELTS/OET English Proficiency","Previous UK Health Sector Placement, Research Methodology Training, Conference Presentations, Teaching Portfolio, QI Leadership",https://www.jobs.nhs.uk/candidate/job/18350147/
